Action,Input Topic,Output Topics
opposite,Meditation,"Distraction,Noise,Chaos,Stress"
evil,Glacier,"Climate Change,Oil Extraction,Habitat Destruction"
similar,Chocolate Cake,"Brownies,Cupcakes,Molten Lava Cake"
past,Wonder Woman,"DC Comics,Steve Trevor,Themyscira,Gal Gadot"
people,Astrobiology,"Carl Sagan,NASA Astrobiology Institute,The SETI Institute,Exoplanet Scientists"
broader,Superheroes,"Comics,Marvel,DC,Graphic Novels"
deeper,Nile River,"Amazon River,Mississippi River,Yangtze River,Ganges River"
evil,Bees,"Pesticides,Colony Collapse Disorder,Africanized Honey Bees,Wasps"
past,Quantum Mechanics,"Relativity,Classical Physics,Wave-Particle Duality,Schrödinger's Cat"
deeper,Galápagos Islands,"Biodiversity,Charles Darwin,Conservation Efforts,Evolution Theory"
good,Jazz,"Blues,Louis Armstrong,Ella Fitzgerald,Duke Ellington"
good,Sharks,"Whale shark,Nurse shark,Great white shark"
people,Solar Energy,"Elon Musk,Environmental Activists,Renewable Energy Engineers,Solar Panel Manufacturers"
similar,Jane Austen,"Charlotte Brontë,Elizabeth Gaskell,Fanny Burney,Mary Shelley"
broader,Kangaroos,"Marsupials,Australia,Wildlife Conservation,Animals"
opposite,Elephant,"Mouse,Ant,Rabbit,Bird"
opposite,Galileo,"Heliocentrism,Earth-centered universe,Aristarchus,Copernicus"
evil,Chopin,"Romanticism,Haunted Composers,Dark Sonatas"
similar,Blockchain,"Cryptocurrency,Smart contracts,Decentralized finance"
people,Amalfi Coast,"Sophia Loren,Tourists,Italian Locals,Fishermen"
broader,Volcano,"Caldera,Magma chamber,Lava flow,Eruption"
people,Soccer,"Lionel Messi,Neymar Jr.,Pelé,FIFA"
good,Ocean Exploration,"Marine Conservation,Jacques Cousteau,Coral Reefs,Oceanographers"
broader,Star Wars,"Sci-fi,George Lucas,Jedi,Galactic Empire"
good,Cactus,"Succulent Plants,Prickly Pear,Desert Garden,Alkaline Soil"
places,Dinosaur,"Jurassic Park,Natural History Museum,Fossil Site,Paleontological Excavation"
people,Dance,"Martha Graham,Michael Jackson,Misty Copeland,The Rockettes"
evil,Hip Hop,"Gangsta rap,Conspiracy theories,Drug culture,Police brutality"
past,Ninja,"Samurai,Feudal Japan,Shinobi,Tokugawa"
similar,Coral Reef,"Marine Life,Sea Anemone,Clownfish,Algae"
past,Angkor Wat,"Angkorian Empire,Khmer Architecture,Jayavarman VII,Buddhist Monasticism"
similar,Snowboarding,"Skiing,Surfing,Skateboarding"
good,Nairobi,"Culture,Wildlife Conservation,Education Reform,Technology Hub"
past,Algebra,"Geometry,Pythagoras,Ancient Egypt,Euclidean proofs"
broader,Sea Turtles,"Ocean Conservation,Marine Biology,Endangered Species"
similar,Lunar Eclipse,"Solar Eclipse,Blood Moon,Full Moon"
deeper,Antarctica,"Ice Core Sampling,Marine Ecosystems,Research Stations"
good,Blue Whale,"Conservation,Marine Biology,Endangered Species"
broader,Moon,"Space,Lunar Exploration,Astronauts,Tides"
deeper,Pyramid,"Gizeh,Hieroglyphics,Pharaoh,Ancient Egypt"
broader,Pyramids of Giza,"Ancient Egypt,Pharaohs,Archaeology,Monuments"
places,Ocean Conservation,"Coral Reefs,Marine Parks,Coastal Cities,Underwater Caves"
deeper,Street Art,"Graffiti,Banksy,Urban Culture,Murals"
opposite,Street Food,"Fine Dining,Gourmet Cuisine,Five-Star Restaurants,Tasting Menus"
broader,Samba Dance,"Carnival,Brazil,Rhythm,Music"
good,Pride and Prejudice,"Romanticism,Jane Austen,Social Class,Marriage"
good,Pacific Northwest,"Nature,Rainforest,Sustainability,Salmon"
people,African Safari,"Zebra Tourists,Wildlife Guides,Maasai Tribe"
similar,Underwater Volcanoes,"Oceanic Hotspots,Hydrothermal Vents,Seafloor Spreading"
evil,Pixar Animation,"Villains,Corporate Greed,Maya Angelou,Discrimination"
similar,Python Programming,"JavaScript,Ruby on Rails,C++"
evil,Taj Mahal,"Mughal Empire,Oppression,Symbol of Repression"
similar,Tropical Forest,"Rainforest,Amazon Basin,Biodiversity"
good,Coral Reefs,"Ocean Conservation,Marine Biodiversity,Environmental Education"
past,Spider-Man,"Web shooters,Peter Parker,Green Goblin,Aunt May"
people,Unicorn,"Pegasus,Mythical Creatures,Fairy Tales,Elves"
deeper,Cooking Techniques,"Sous-vide,Fermentation,Smoking,Poaching"
deeper,Surfing,"Wipeout,Big Wave Riding,Paddle Out"
deeper,Jungle Safari,"Rainforest Exploration,Animal Tracking,Survival Techniques"
places,Venice,"Florence,Burano,Milan,Murano"
good,Paris,"Eiffel Tower,Louvre Museum,Notre-Dame Cathedral,Seine River"
similar,Nelson Mandela,"Desmond Tutu,Barack Obama,Martin Luther King Jr."
opposite,AI Technology,"Human Interaction,Manual Labor,Traditional Methods"
